pitcher_name,pitch_type,pitch_name,count,usage_pct,avg_velo,avg_spin,pfx_x,pfx_z,whiffs,swings,delta_run_exp,whiff_rate,pfx_x_in,pfx_z_in
Andrew Abbott,CH,Changeup,542,19.53153153153153,84.80313653136533,1978.7915129151293,1.260719557195572,0.8511254612546125,75,293,-4.569,0.25597269624573377,15.128634686346864,10.21350553505535
Andrew Abbott,CU,Curveball,408,14.702702702702702,80.95833333333333,2798.299019607843,-0.8308333333333334,-0.26443627450980395,43,178,-1.816,0.24157303370786518,-9.97,-3.1732352941176476
Andrew Abbott,FC,Cutter,115,4.1441441441441444,88.64869565217391,2523.8608695652174,-0.043130434782608695,0.7041739130434783,16,71,3.937,0.22535211267605634,-0.5175652173913043,8.45008695652174
Andrew Abbott,FF,4-Seam Fastball,1319,47.53153153153153,92.72175890826384,2269.573708206687,0.7503487490523124,1.350303260045489,122,620,-15.985,0.1967741935483871,9.004184988627749,16.203639120545866
Andrew Abbott,ST,Sweeper,391,14.09009009009009,82.76598465473145,2768.685421994885,-0.9382097186700766,0.2948081841432225,74,217,-1.3880000000000001,0.34101382488479265,-11.258516624040919,3.53769820971867
Cade Cavalli,CH,Changeup,107,13.578680203045684,89.80841121495327,1982.0841121495328,-1.474766355140187,0.5092523364485981,23,55,-0.958,0.41818181818181815,-17.697196261682244,6.111028037383178
Cade Cavalli,FC,Cutter,64,8.121827411167512,93.521875,2316.4375,0.039218750000000004,0.7203125,4,33,2.408,0.12121212121212122,0.47062500000000007,8.64375
Cade Cavalli,FF,4-Seam Fastball,233,29.56852791878173,97.14077253218883,2325.587982832618,-0.3629184549356223,1.253519313304721,30,116,-1.18,0.25862068965517243,-4.355021459227467,15.042231759656653
Cade Cavalli,KC,Knuckle Curve,238,30.20304568527919,86.15294117647059,2328.126050420168,0.5250420168067227,-1.075924369747899,44,112,3.606,0.39285714285714285,6.300504201680672,-12.911092436974789
Cade Cavalli,SI,Sinker,145,18.401015228426395,96.87655172413794,2249.1310344827584,-1.1413793103448275,0.6532413793103449,7,72,1.186,0.09722222222222222,-13.69655172413793,7.8388965517241385
Chris Sale,CH,Changeup,154,7.58247168882324,86.83636363636363,1831.3246753246754,1.3761688311688312,-0.030129870129870128,19,77,2.0380000000000003,0.24675324675324675,16.514025974025973,-0.3615584415584415
Chris Sale,FF,4-Seam Fastball,846,41.65435745937962,94.83463356973996,2265.826241134752,1.2467375886524823,0.7750709219858156,86,406,4.053000000000001,0.21182266009852216,14.960851063829788,9.300851063829787
Chris Sale,SI,Sinker,71,3.4958148695224027,93.95070422535211,2112.7323943661972,1.5305633802816903,0.15422535211267607,7,37,-4.627,0.1891891891891892,18.366760563380282,1.8507042253521129
Chris Sale,SL,Slider,960,47.26735598227474,79.07375,2355.712643678161,-0.8791041666666667,-0.24240625000000002,185,467,-23.105,0.3961456102783726,-10.54925,-2.908875
Cole Ragans,CH,Changeup,243,19.073783359497646,84.54814814814816,2068.1604938271603,1.342716049382716,0.9296296296296297,62,135,0.8470000000000005,0.45925925925925926,16.11259259259259,11.155555555555557
Cole Ragans,FC,Cutter,73,5.729984301412873,90.11232876712329,2533.3424657534247,-0.048082191780821924,0.6642465753424658,7,37,1.2650000000000001,0.1891891891891892,-0.5769863013698631,7.970958904109589
Cole Ragans,FF,4-Seam Fastball,616,48.35164835164835,95.38993506493506,2563.0795454545455,1.137564935064935,1.4027597402597403,89,327,1.1729999999999994,0.27217125382262997,13.65077922077922,16.833116883116883
Cole Ragans,KC,Knuckle Curve,153,12.009419152276294,80.14183006535949,2446.0588235294117,-0.9588888888888889,-1.0773202614379085,13,40,1.466,0.325,-11.506666666666668,-12.927843137254902
Cole Ragans,SL,Slider,189,14.835164835164836,84.98253968253968,2616.6507936507937,-0.13682539682539682,-0.17555555555555555,46,100,-0.6610000000000001,0.46,-1.6419047619047618,-2.1066666666666665
Drew Rasmussen,CU,Curveball,99,4.274611398963731,80.43232323232323,2765.7676767676767,0.4258585858585858,-0.9738383838383838,4,26,3.335,0.15384615384615385,5.1103030303030295,-11.686060606060606
Drew Rasmussen,FC,Cutter,728,31.43350604490501,90.29217032967033,2706.9903846153848,0.3775961538461538,0.3214835164835165,104,387,-14.711,0.268733850129199,4.531153846153845,3.8578021978021977
Drew Rasmussen,FF,4-Seam Fastball,816,35.233160621761655,95.80575980392157,2480.8823529411766,-0.3417279411764706,1.445404411764706,96,413,-11.304,0.2324455205811138,-4.100735294117647,17.344852941176473
